2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 3.47ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.06ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.11ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.07ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.08ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.06ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.06ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.36ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.06ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.31ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.07ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.11ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.10ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.17ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.06ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.32ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.10ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.07ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.12ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.10ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.08ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.07ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.07ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.54ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.06ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.07ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.08ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:14:42 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 2.68ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: pwd | Status: ALLOWED | Latency: 0.14ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: rm -rf / | Status: BLOCKED | Latency: 0.06ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: cat /etc/shadow | Status: BLOCKED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: curl http://malicious.com | Status: BLOCKED | Latency: 0.06ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: git status | Status: ALLOWED | Latency: 0.28ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: python3 -m unittest discover | Status: ALLOWED | Latency: 0.47ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: echo [REDACTED_AWS_KEY] | Status: BLOCKED | Latency: 0.22ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ../../etc/passwd | Status: BLOCKED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.07ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.06ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.06ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.06ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.08ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.07ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.12ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.08ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.08ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.06ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.07ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.06ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.06ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.23ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.07ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.06ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.06ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.06ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.04ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
2026-05-16T09:15:24 [SENTINEL-AUDIT] Intent: ls -la | Status: ALLOWED | Latency: 0.05ms
